GC,seq_id,group,type
GCall,000011,Model1,top
GCall,000021,normal,normal
GCall,000024,Model2,bottom
GCall,000069,Model2,top
GCall,000070,Model1,bottom
GCall,000123,Model1,bottom
GCall,000166,Model2,bottom
GCall,000173,Model2,top
GCall,000198,Model1,bottom
GCall,000208,normal,normal
GCall,000282,normal,normal
GCall,000293,Model2,bottom
GCall,000296,Model2,top
GCall,000303,normal,normal
GCall,000331,Model1,top
GCall,000366,Model1,top
GCall,000369,Model1,top
GCall,000414,Model1,top
GCall,000431,Model1,bottom
GCall,000432,Model1,bottom
GCall,000439,normal,normal
GCall,000459,Model2,top
GCall,000466,Model2,top
GCall,000558,Model1,bottom
GCall,000576,Model2,top
GCall,000608,normal,normal
GCall,000610,normal,normal
GCall,000632,Model2,top
GCall,000634,Model1,top
GCall,000675,normal,normal
GCall,000703,Model2,bottom
GCall,000727,Model1,bottom
GCall,000752,Model2,bottom
GCall,000765,Model1,bottom
GCall,000834,Model2,bottom
GCall,000860,Model2,top
GCall,000870,Model1,bottom
GCall,000894,Model2,bottom
GCall,000900,normal,normal
GCall,000907,Model2,bottom
GCall,000918,normal,normal
GCall,000946,Model2,bottom
GCall,001015,Model1,bottom
GCall,001046,Model2,top
GCall,001056,Model1,top
GCall,001080,Model1,top
GCall,001158,Model1,bottom
GCall,001164,normal,normal
GCall,001167,Model2,top
GCall,001193,normal,normal
GCall,001203,Model1,top
GCall,001267,Model1,bottom
GCall,001350,Model1,bottom
GCall,001371,Model2,top
GCall,001380,Model1,bottom
GCall,001387,Model1,bottom
GCall,001390,normal,normal
GCall,001408,Model1,bottom
GCall,001433,normal,normal
GCall,001437,Model1,bottom
GCall,001445,normal,normal
GCall,001472,normal,normal
GCall,001492,Model1,bottom
GCall,001493,normal,normal
GCall,001525,Model2,top
GCall,001613,normal,normal
GCall,001634,Model1,top
GCall,001646,normal,normal
GCall,001761,normal,normal
GCall,001778,Model1,top
GCall,001837,normal,normal
GCall,001851,Model1,top
GCall,001865,Model1,top
GCall,001874,Model1,bottom
GCall,001878,Model2,top
GCall,001903,normal,normal
GCall,001919,Model1,top
GCall,001972,Model1,bottom
GCall,001978,normal,normal
GCall,002013,normal,normal
GCall,002015,normal,normal
GCall,002020,Model2,bottom
GCall,002038,normal,normal
GCall,002046,Model2,bottom
GCall,002094,normal,normal
GCall,002135,normal,normal
GCall,002145,Model1,bottom
GCall,002159,Model1,bottom
GCall,002161,Model1,top
GCall,002169,Model2,bottom
GCall,002180,Model2,top
GCall,002196,normal,normal
GCall,002199,Model1,bottom
GCall,002225,Model1,bottom
GCall,002279,normal,normal
GCall,002328,Model1,top
GCall,002336,normal,normal
GCall,002337,Model1,bottom
GCall,002343,Model2,top
GCall,002345,Model1,bottom
GCall,002381,Model2,bottom
GCall,002398,Model1,bottom
GCall,002405,Model1,top
GCall,002469,Model1,bottom
GCall,002470,normal,normal
GCall,002482,Model1,top
GCall,002499,normal,normal
GCall,002500,Model1,bottom
GCall,002514,Model2,bottom
GCall,002517,Model1,top
GCall,002565,Model1,bottom
GCall,002611,Model2,bottom
GCall,002628,Model1,top
GCall,002631,Model1,bottom
GCall,002734,Model2,bottom
GCall,002851,Model1,bottom
GCall,002924,Model2,top
GCall,002957,Model1,bottom
GCall,002983,Model1,top
GCall,003002,Model1,top
GCall,003038,Model2,top
GCall,003050,Model2,top
GCall,003056,Model1,bottom
GCall,003077,Model1,bottom
GCall,003083,Model1,top
GCall,003089,Model1,top
GCall,003109,Model2,bottom
GCall,003168,Model2,bottom
GCall,003213,normal,normal
GCall,003265,normal,normal
GCall,003266,Model2,bottom
GCall,003292,Model2,top
GCall,003345,normal,normal
GCall,003354,normal,normal
GCall,003379,Model2,top
GCall,003420,Model2,bottom
GCall,003424,Model2,top
GCall,003473,Model1,top
GCall,003487,normal,normal
GCall,003518,Model2,top
GCall,003527,normal,normal
GCall,003530,Model2,bottom
GCall,003537,Model2,bottom
GCall,003551,Model1,top
GCall,003574,Model2,top
GCall,003582,Model1,bottom
GCall,003620,Model1,top
GCall,003628,normal,normal
GCall,003696,Model2,top
GCall,003773,Model2,top
GCall,003795,normal,normal
GCall,003805,Model2,top
GCall,003813,normal,normal
GCall,003881,Model2,bottom
GCall,003884,Model2,top
GCall,003891,Model1,top
GCall,003902,normal,normal
GCall,003903,Model1,top
GCall,003916,Model2,top
GCall,003919,Model1,top
GCall,003922,Model1,top
GCall,003959,Model1,bottom
GCall,003968,Model2,top
GCall,003974,Model1,bottom
GCall,003996,Model1,top
GCall,004014,normal,normal
GCall,004019,Model2,top
GCall,004037,Model2,top
GCall,004061,Model2,top
GCall,004064,Model2,top
GCall,004085,normal,normal
GCall,004087,Model1,bottom
GCall,004122,Model2,top
GCall,004125,Model2,top
GCall,004208,normal,normal
GCall,004213,Model1,top
GCall,004301,Model1,bottom
GCall,004341,Model2,bottom
GCall,004377,Model1,top
GCall,004436,Model1,top
GCall,004442,Model2,top
GCall,004468,Model2,top
GCall,004481,normal,normal
GCall,004494,normal,normal
GCall,004501,Model1,bottom
GCall,004556,Model2,bottom
GCall,004576,Model2,top
GCall,004601,Model1,top
GCall,004607,Model2,bottom
GCall,004726,normal,normal
GCall,004773,Model2,top
GCall,004776,Model2,top
GCall,004788,Model2,top
GCall,004840,normal,normal
GCall,004855,Model2,bottom
GCall,004867,normal,normal
GCall,004876,normal,normal
GCall,004880,Model1,bottom
GCall,004890,Model1,bottom
GCall,004897,normal,normal
GCall,004934,normal,normal
GCall,004953,Model2,top
GCall,004960,Model2,top
GCall,004965,Model2,top
GCall,004981,Model2,top
GCall,004995,Model2,top
GCall,005051,normal,normal
GCall,005056,Model1,top
GCall,005062,Model1,top
GCall,005091,Model1,bottom
GCall,005095,Model1,bottom
GCall,005098,Model2,bottom
GCall,005107,Model2,top
GCall,005126,Model2,top
GCall,005171,normal,normal
GCall,005173,normal,normal
GCall,005204,Model1,top
GCall,005210,Model1,top
GCall,005273,normal,normal
GCall,005302,normal,normal
GCall,005303,normal,normal
GCall,005327,normal,normal
GCall,005335,Model2,bottom
GCall,005365,Model2,bottom
GCall,005373,Model1,bottom
GCall,005457,Model1,bottom
GCall,005460,Model2,top
GCall,005469,Model2,top
GCall,005495,Model2,bottom
GCall,005506,Model2,bottom
GCall,005534,Model1,bottom
GCall,005538,Model2,top
GCall,005548,Model1,bottom
GCall,005618,Model1,bottom
GCall,005623,Model2,bottom
GCall,005641,Model1,bottom
GCall,005676,Model2,top
GCall,005716,Model1,bottom
GCall,005748,Model1,top
GCall,005749,Model1,top
GCall,005771,Model2,top
GCall,005794,Model1,bottom
GCall,005804,Model1,top
GCall,005872,Model1,top
GCall,005896,Model1,bottom
GCall,005901,Model2,bottom
GCall,005924,normal,normal
GCall,005933,Model1,top
GCall,005948,Model2,bottom
GCall,006000,Model2,top
GCall,006039,normal,normal
GCall,006055,normal,normal
GCall,006119,Model1,bottom
GCall,006134,Model2,top
GCall,006159,Model1,bottom
GCall,006217,Model1,top
GCall,006242,Model2,top
GCall,006257,normal,normal
GCall,006262,Model2,top
GCall,006279,Model2,top
GCall,006291,Model1,bottom
GCall,006349,normal,normal
GCall,006378,Model1,top
GCall,006409,Model1,bottom
GCall,006461,Model1,top
GCall,006477,Model2,top
GCall,006488,Model1,top
GCall,006502,normal,normal
GCall,006538,Model1,bottom
GCall,006561,Model2,bottom
GCall,006565,normal,normal
GCall,006569,Model1,bottom
GCall,006580,Model2,bottom
GCall,006623,Model2,bottom
GCall,006666,Model1,bottom
GCall,006679,Model1,bottom
GCall,006686,Model1,bottom
GCall,006695,Model2,top
GCall,006696,Model2,bottom
GCall,006718,normal,normal
GCall,006762,Model2,top
GCall,006778,Model1,bottom
GCall,006793,Model1,bottom
GCall,006796,Model1,bottom
GCall,006830,Model1,top
GCall,006853,Model1,top
GCall,006861,normal,normal
GCall,006870,Model1,top
GCall,006897,Model1,top
GCall,006946,Model1,bottom
GCall,006949,normal,normal
GCall,006957,Model1,top
GCall,007045,normal,normal
GCall,007067,Model2,top
GCall,007076,Model2,bottom
GCall,007113,normal,normal
GCall,007142,normal,normal
GCall,007207,Model1,top
GCall,007218,Model2,bottom
GCall,007232,Model1,top
GCall,007245,Model2,bottom
GCall,007257,normal,normal
GCall,007316,normal,normal
GCall,007354,Model1,top
GCall,007462,Model2,top
GCall,007497,Model2,top
GCall,007574,Model1,top
GCall,007615,Model2,top
GCall,007634,Model2,bottom
GCall,007645,Model2,bottom
GCall,007674,Model1,bottom
GCall,007684,Model2,top
GCall,007688,Model1,top
GCall,007709,Model1,top
GCall,007723,Model2,top
GCall,007731,Model2,top
GCall,007752,normal,normal
GCall,007775,Model1,top
GCall,007808,Model1,top
GCall,007813,Model1,bottom
GCall,007835,Model2,top
GCall,007852,Model2,bottom
GCall,007880,Model1,top
GCall,007891,Model1,bottom
GCall,007900,Model1,bottom
GCall,007925,Model1,top
GCall,007967,normal,normal
GCall,008070,Model1,top
GCall,008141,Model2,bottom
GCall,008146,Model2,bottom
GCall,008165,normal,normal
GCall,008190,Model2,top
GCall,008236,Model1,top
GCall,008239,normal,normal
GCall,008247,Model1,top
GCall,008253,Model2,bottom
GCall,008285,normal,normal
GCall,008298,Model2,bottom
GCall,008310,Model2,top
GCall,008335,Model2,bottom
GCall,008336,Model1,top
GCall,008351,normal,normal
GCall,008358,normal,normal
GCall,008368,Model2,top
GCall,008380,Model1,top
GCall,008392,Model1,bottom
GCall,008397,normal,normal
GCall,008497,Model1,bottom
GCall,008498,Model1,bottom
GCall,008503,Model1,top
GCall,008522,normal,normal
GCall,008580,Model2,bottom
GCall,008607,normal,normal
GCall,008616,normal,normal
GCall,008633,normal,normal
GCall,008644,Model1,top
GCall,008650,Model2,top
GCall,008705,Model2,bottom
GCall,008713,Model2,bottom
GCall,008719,Model2,top
GCall,008824,Model1,bottom
GCall,008840,normal,normal
GCall,008851,Model2,bottom
GCall,008864,normal,normal
GCall,008868,normal,normal
GCall,008869,Model2,bottom
GCall,008872,Model2,top
GCall,008912,Model2,top
GCall,008965,normal,normal
GCall,009012,Model2,top
GCall,009033,normal,normal
GCall,009055,normal,normal
GCall,009068,Model1,top
GCall,009088,Model1,top
GCall,009124,normal,normal
GCall,009163,Model2,bottom
GCall,009169,normal,normal
GCall,009233,normal,normal
GCall,009239,Model2,top
GCall,009241,Model2,top
GCall,009244,normal,normal
GCall,009296,Model1,bottom
GCall,009316,Model1,bottom
GCall,009332,Model1,bottom
GCall,009362,Model1,bottom
GCall,009388,Model2,top
GCall,009395,Model1,bottom
GCall,009439,Model2,top
GCall,009466,Model2,bottom
GCall,009600,normal,normal
GCall,009612,normal,normal
GCall,009627,normal,normal
GCall,009628,Model1,top
GCall,009637,Model2,bottom
GCall,009688,normal,normal
GCall,009697,Model2,bottom
GCall,009723,Model2,top
GCall,009745,Model1,top
GCall,009760,Model1,top
GCall,009807,Model1,bottom
GCall,009878,Model1,top
GCall,009880,Model2,top
GCall,009881,normal,normal
GCall,009882,Model2,top
GCall,009888,normal,normal
GCall,009905,normal,normal
GCall,009907,Model2,bottom
GCall,009919,Model1,top
GCall,009948,Model1,top
GCall,009953,Model2,bottom
GCall,009970,Model1,bottom
GCall,009972,Model1,bottom
GCall,009976,Model2,bottom
GCall,009982,Model1,bottom
GCall,009985,Model1,top
GCall,009992,Model1,bottom
GCall,010012,normal,normal
GCall,010027,Model1,top
GCall,010052,Model1,bottom
GCall,010069,normal,normal
GCall,010081,normal,normal
GCall,010100,normal,normal
GCall,010123,Model2,top
GCall,010142,Model2,top
GCall,010153,normal,normal
GCall,010158,Model2,top
GCall,010169,Model1,top
GCall,010192,normal,normal
GCall,010215,normal,normal
GCall,010217,Model1,top
GCall,010222,Model1,bottom
GCall,010229,Model1,bottom
GCall,010305,Model1,bottom
GCall,010314,Model2,top
GCall,010329,Model1,top
GCall,010349,Model2,top
GCall,010368,Model1,top
GCall,010387,Model1,top
GCall,010432,Model1,bottom
GCall,010467,Model1,bottom
GCall,010490,Model1,bottom
GCall,010506,Model1,top
GCall,010523,Model1,bottom
GCall,010527,normal,normal
GCall,010616,normal,normal
GCall,010649,Model2,top
GCall,010677,Model1,top
GCall,010694,normal,normal
GCall,010726,normal,normal
GCall,010748,Model1,top
GCall,010756,Model1,top
GCall,010770,Model2,top
GCall,010777,normal,normal
GCall,010815,Model1,top
GCall,010833,Model2,top
GCall,010899,Model2,top
GCall,010902,Model1,top
GCall,010909,Model2,bottom
GCall,010923,normal,normal
GCall,010929,Model2,bottom
GCall,010977,Model2,top
GCall,010980,normal,normal
GCall,011014,Model1,bottom
GCall,011080,Model2,top
GCall,011111,Model2,bottom
GCall,011139,Model2,bottom
GCall,011148,Model2,bottom
GCall,011151,Model2,top
GCall,011180,normal,normal
GCall,011186,Model1,top
GCall,011201,Model2,top
GCall,011209,Model2,bottom
GCall,011248,normal,normal
GCall,011257,Model1,bottom
GCall,011282,Model1,top
GCall,011298,Model2,bottom
GCall,011315,normal,normal
GCall,011452,Model1,top
GCall,011471,Model2,top
GCall,011493,Model1,bottom
GCall,011555,Model2,bottom
GCall,011580,Model1,bottom
GCall,011608,normal,normal
GCall,011687,Model2,top
GCall,011691,Model2,bottom
GCall,011701,Model1,top
GCall,011702,Model1,top
GCall,011713,Model1,top
GCall,011744,Model1,top
GCall,011761,Model2,bottom
GCall,011851,normal,normal
GCall,011861,normal,normal
GCall,011870,Model1,bottom
GCall,011889,normal,normal
GCall,011896,Model1,bottom
GCall,011899,normal,normal
GCall,011924,normal,normal
GCall,011934,Model1,top
GCall,011936,normal,normal
